Team|OPR|Inner Auto Cells|Outer Auto Cells|Inner Teleop Cells|Outer Teleop Cells|Initation Line|Penalties|Hang|Park|None
frc1657|32.6768505813511|0.076471908936043|0.6054574690021288|0.40960845815836533|1.115829935910122|1.0|-1.2555833213483654|0.45454545454545453|0.18181818181818182|0.36363636363636365
frc1690|91.57827539820148|1.927840461852938|1.12883682085586|8.23234950458524|5.6894332122169065|0.9166666666666666|-0.9698141735121988|0.6666666666666666|0.25|0.08333333333333333
frc1954|15.384568295139545|0.012894999545082886|0.03274236238677575|0.2261023824632198|2.5970909372664286|0.9090909090909091|9.539654748227708|0.0|0.6363636363636364|0.36363636363636365
frc2231|37.194796642934264|-0.044284602244093085|1.2649231570353094|1.4775820242525022|5.608301974087842|1.0|-0.46285363026026305|0.0|0.45454545454545453|0.5454545454545454
frc2630|42.70951373818437|0.4581120842056394|1.710077119748472|1.5210550193396672|2.723754909138603|1.0|-5.589086749681456|0.18181818181818182|0.6363636363636364|0.18181818181818182
frc2679|7.944555278499557|-0.03842588904002758|0.22155709945235702|-1.1759902478710142|-0.7549016272183562|1.0|2.6307083946460548|0.09090909090909091|0.45454545454545453|0.45454545454545453
frc3065|39.042132458513585|0.6486395958589557|0.8848224354109855|1.8220195411953104|5.647103951227357|0.9090909090909091|3.833894604931002|0.0|0.0|1.0
frc3075|46.89764195642943|1.3818575026564108|1.7708463856333951|0.8629420916925077|2.884903962035612|1.0|21.032872048203643|0.45454545454545453|0.09090909090909091|0.45454545454545453
frc3316|7.56254143784588|0.10353105193557677|-0.6131745359657809|-0.2763270649133915|-2.4075969916499225|1.0|12.537019244056603|0.0|0.36363636363636365|0.6363636363636364
frc3339|64.15811270195616|0.5956474846446472|2.3399942528138773|1.779340555366512|4.2312352022547195|1.0|2.8424275747001264|0.5454545454545454|0.45454545454545453|0.0
frc3388|29.454862564563882|0.11951339258038111|1.5506427082670051|0.21180060973670597|0.8158994257650969|0.7272727272727273|-1.1640156211891564|0.36363636363636365|0.45454545454545453|0.18181818181818182
frc3835|4.656363457336049|-0.08050162864667808|-0.039622821854608636|-0.30470206991070214|-0.2627333947331292|0.9090909090909091|8.551166945971614|0.0|0.7272727272727273|0.2727272727272727
frc4319|11.134458305541905|0.4826796514754994|0.04996060331846375|0.6289937785970654|-0.5886017653814797|0.2727272727272727|10.42031081417906|0.0|0.2727272727272727|0.7272727272727273
frc4320|0.8462205794764586|-0.2429114147581302|-0.24620210738712822|0.3436390380129413|-0.4376634673172435|0.9090909090909091|0.6299817651863213|0.0|0.5454545454545454|0.45454545454545453
frc4338|38.26597648700356|0.7314900318402429|1.6062619398585845|0.9338427958216748|1.5820133994290613|1.0|-2.0028270662986603|0.5454545454545454|0.2727272727272727|0.18181818181818182
frc4416|14.274209976932774|-0.146728518879377|-0.2753293098991856|-0.4521174162918794|0.8521070031597127|0.45454545454545453|16.94962983390833|0.0|0.45454545454545453|0.5454545454545454
frc4661|37.50562725592394|-0.06956524695436445|0.7171584677501663|0.24852557489894067|1.7494590571923565|1.0|8.09680865626482|0.5454545454545454|0.2727272727272727|0.18181818181818182
frc4744|21.576725715703517|-0.17809030989031593|1.769327600505463|-0.11334182004991511|4.1956899985392875|0.6363636363636364|7.5466268124856715|0.0|0.5454545454545454|0.45454545454545453
frc5614|34.68896816669996|-0.24618119791956816|1.1228721584644688|0.12210106924490716|4.0060115540930425|1.0|-1.0256634326247482|0.5454545454545454|0.45454545454545453|0.0
frc5635|42.588518890173944|0.21508517071979916|0.33959357337634|0.6401444272364003|-0.029242912663069554|1.0|-4.908881664224177|0.7272727272727273|0.2727272727272727|0.0
frc5654|8.689923760281253|0.6539670816843481|0.877212106304537|-0.05531426796636163|-0.8520518251684805|0.18181818181818182|1.1138583694302628|0.0|0.45454545454545453|0.5454545454545454
frc5951|25.799198540449794|0.5660796748562789|0.4148032761437185|0.2165480013611728|3.744638898041537|0.9090909090909091|-2.2422253397723266|0.5454545454545454|0.18181818181818182|0.2727272727272727
frc5987|44.05848973187702|1.2534356654927588|1.4511442511756993|0.8792352466650752|4.538420129562441|1.0|4.103998437095566|0.5454545454545454|0.36363636363636365|0.09090909090909091
frc6049|23.88085723165255|0.16148794834372282|0.362498075888646|-0.2861082246342104|0.4145011719841123|0.7272727272727273|3.672428696834638|0.2727272727272727|0.2727272727272727|0.45454545454545453
frc6104|39.567463594765485|0.7579708939380911|1.886978615611035|1.4646064120121154|3.857817792277544|0.8333333333333334|2.1752628426616365|0.0|0.25|0.75
frc6168|27.378559014547093|0.20985990984539846|2.1272987842624067|-0.6760567628618069|1.079109628284653|0.9090909090909091|2.787166316184731|0.36363636363636365|0.2727272727272727|0.36363636363636365
frc6736|43.02162222008062|-0.04053074464721984|0.2655947502162801|0.007278957545011622|2.46310602230072|1.0|7.031253679996746|0.7272727272727273|0.18181818181818182|0.09090909090909091
frc7039|53.01506553255579|0.07472862854764326|2.2013747712078575|0.4529125155884691|7.165005930243272|1.0|7.585311327036849|0.5454545454545454|0.45454545454545453|0.0
frc7067|52.02229313662758|1.0264126596739136|1.0775985951606393|1.1600400322606936|3.976084534041499|1.0|-2.4155868349233467|0.8181818181818182|0.18181818181818182|0.0
frc7177|37.097676416676485|-0.23424312007271902|2.2307128225024724|0.7484047094616673|2.9308139355275564|1.0|7.542997670085068|0.5454545454545454|0.09090909090909091|0.36363636363636365
frc8175|43.06172873015002|-0.12839696885115648|2.497562870055196|-0.5011682376036537|5.361072230819076|1.0|1.5613108289670343|0.0|0.45454545454545453|0.5454545454545454
frc8340|5.616589566200798|-0.07019264361981559|0.574128844837941|0.5705119196433702|1.1445461883245334|0.36363636363636365|13.651352889222192|0.0|0.36363636363636365|0.6363636363636364
